day,Sad
2019-06-06,2.813970422721468e-05
2019-06-13,7.121785984054441e-06
2019-06-20,2.1943456886219792e-05
2019-06-27,8.801850526651833e-06
2019-07-04,5.318104285834124e-06
2019-07-11,9.708864126878323e-06
2019-07-18,8.566403266740963e-06
2019-07-25,2.448197665216867e-05
2019-08-01,1.0499858035473151e-05
2019-08-08,1.3054705050308256e-05
2019-08-15,5.162284196558176e-06
2019-08-22,1.387164320476586e-05
2019-08-29,2.2480521693069022e-06
2019-09-05,7.501936124754138e-06
2019-09-12,2.341896288271528e-05
2019-09-19,1.2036393854941709e-05
2019-09-26,6.847644726803992e-06
2019-10-03,9.716170097817669e-06
2019-10-10,9.951951142284088e-06
2019-10-17,1.3491614481608847e-05
2019-10-24,7.1642148213868495e-06
2019-10-31,7.446443305525463e-06
2019-11-07,1.2549976418085862e-05
2019-11-14,1.1745015399355909e-05
2019-11-21,1.5548832379863597e-05
2019-11-28,3.3900766993610887e-06
2019-12-05,1.6828465959406458e-05
2019-12-12,1.06219231383875e-05
2019-12-19,4.6844702410453465e-06
2019-12-26,7.260102393047418e-06
2020-01-02,6.4711343839007895e-06
2020-01-09,5.374861757445615e-06
2020-01-09,2.648821919137845e-06
2020-01-16,7.695147360209376e-06
2020-01-23,2.158122242690297e-06
2020-01-30,4.154125235800166e-06
2020-02-06,1.0107521120517047e-05
2020-02-13,9.154254257737192e-06
2020-02-20,4.639221515390091e-06
2020-02-27,5.780580522696255e-06
2020-03-05,3.238082399548148e-06
2020-03-12,1.8763634216156788e-05
2020-03-19,5.786315341538284e-06
2020-03-26,1.693201920716092e-05
2020-04-02,1.125037670135498e-05
2020-04-09,4.209273356536869e-06
2020-04-16,9.5187369879568e-06
2020-04-23,6.566685897269053e-06
2020-04-30,5.1790716497635e-06
2020-05-07,6.147563908598386e-06
2020-05-14,5.438502284960123e-06
2020-05-21,9.85288897936698e-06
2020-05-28,8.710776455700397e-06
2020-06-04,3.9798023863113485e-06
2020-06-11,4.74155740448623e-06
2020-06-18,1.4613194252888206e-05
2020-06-25,6.418545581254875e-06
2020-07-02,4.670048838306684e-06
2020-07-09,6.505049441329902e-06
2020-07-16,9.187543582811486e-06
2020-07-23,8.410892405663617e-06
2020-07-30,6.248417776077986e-06
2020-08-06,1.1343603546265513e-05
2020-08-13,4.767378413816914e-06
2020-08-20,2.3087945919542108e-06
2020-08-27,8.817761226964649e-06
2020-09-03,2.646845359777217e-06
2020-09-10,4.924629138258752e-06
2020-09-17,5.274859177006874e-06
2020-09-24,6.731462235620711e-06
2020-10-01,6.92105277266819e-06
2020-10-08,7.28148961570696e-06
2020-10-15,1.376647014694754e-05
2020-10-22,2.4559827579651028e-05
2020-10-29,7.650916813872755e-06
2020-11-05,3.830054083664436e-06
2020-11-12,3.831470621662447e-06
2020-11-19,5.476011665450642e-06
2020-11-26,1.5976824215613306e-05
2020-12-03,1.4877568901283666e-05
2020-12-10,9.505326488579158e-06
2020-12-17,6.144940016383771e-06
2020-12-24,6.380669674399542e-06
2020-12-31,5.974384748697048e-06
2021-01-07,7.3026453719649e-06
2021-01-07,5.690563284588279e-06
2021-01-14,1.1941791854042094e-05
2021-01-21,1.9008923118235543e-05
2021-01-28,1.1913387425011024e-05
2021-02-04,5.96015524934046e-06
2021-02-11,6.609696811210597e-06
2021-02-18,1.22964765978395e-05
2021-02-25,7.709120836807415e-06
2021-03-04,7.376204393949592e-06
2021-03-11,2.1422163626994006e-05
2021-03-18,6.225144716154318e-06
2021-03-25,5.366246568883071e-06
2021-04-01,9.891346053336749e-06
2021-04-08,7.090126928233076e-06
2021-04-15,6.961139206396183e-06
2021-04-22,1.3536612641473766e-05
2021-04-29,4.416529918671586e-06
2021-05-06,1.0656525773811154e-05
2021-05-13,8.083863576757722e-06
2021-05-20,1.0091363037645353e-05
2021-05-27,4.378693120088428e-06
2021-06-03,4.662473656935617e-06
2021-06-10,1.3300852515385486e-05
2021-06-17,1.774302108970005e-05
2021-06-24,6.994952400418697e-06
2021-07-01,4.934220669383649e-06
2021-07-08,2.9721563805651385e-06
2021-07-15,7.498277227568906e-06
2021-07-22,7.569304216303863e-06
2021-07-29,7.548816029157024e-06
2021-08-05,5.015293936594389e-06
2021-08-12,3.605882284318795e-06
2021-08-19,5.280588538880693e-06
2021-08-26,5.18315982844797e-06
2021-09-02,3.7461732063093214e-06
2021-09-09,1.0760503755591344e-05
2021-09-16,7.401201855827821e-06
2021-09-23,6.648951966781169e-06
2021-09-30,3.1893769119051285e-06
2021-10-07,5.802037321700482e-06
2021-10-14,4.834275841858471e-06
2021-10-21,4.956049906468252e-06
2021-10-28,3.825575731752906e-06
2021-11-04,7.64225478633307e-06
2021-11-11,2.60209867519734e-06
2021-11-18,4.673515832109842e-06
2021-11-25,3.929493232135428e-06
2021-12-02,1.2052608326484917e-05
2021-12-09,2.684868377400562e-05
2021-12-16,4.578666903398698e-06
2021-12-23,4.325362169765867e-06
2022-01-01,8.28884822112741e-06
2022-01-06,2.50002926804882e-06
2022-01-06,7.78445610194467e-06
2022-01-13,6.356579888233682e-06
2022-01-20,3.834476046904456e-06
2022-01-27,6.4845244196476415e-06
2022-02-03,7.944629032863304e-06
2022-02-10,4.018680101580685e-06
2022-02-17,6.6565248744154815e-06
2022-02-24,4.79551908938447e-06
2022-03-03,5.076779871160397e-06
2022-03-10,9.474904800299557e-06
2022-03-17,2.77513800028828e-06
2022-03-24,1.2128105481679086e-05
2022-03-31,1.9587955648603383e-06
2022-04-07,8.093020369415171e-06
2022-04-14,6.805993052694248e-06
2022-04-21,5.398350367613602e-06
2022-04-28,3.876808023051126e-06
2022-05-05,5.590548425971065e-06
2022-05-12,4.733096375275636e-06
2022-05-19,3.6883361644868273e-06
2022-05-26,6.78765991324326e-06
2022-06-02,1.3794384358334357e-05
2022-06-09,6.327154096652521e-06
2022-06-16,1.393225829815492e-05
2022-06-23,3.606794734878349e-06
2022-06-30,7.4832141763181426e-06
2022-07-07,7.300924153241794e-06
2022-07-14,3.026809054063051e-06
2022-07-21,5.3293506425688975e-06
2022-07-28,1.5263964087353088e-05
2022-08-04,2.11556607609964e-06
2022-08-11,4.393726158014033e-06
2022-08-18,3.935087534046033e-06
2022-08-25,5.54277630726574e-06
2022-09-01,3.4847362258005887e-06
2022-09-08,5.985022198728984e-06
2022-09-15,5.142124791746028e-06
2022-09-22,2.712359901124728e-06
2022-09-29,4.818362867808901e-06
2022-10-06,1.5606845408910885e-05
2022-10-13,4.497980171436211e-06
2022-10-20,3.2283553537126863e-06
2022-10-27,7.138944056350738e-06
2022-11-03,1.0281504728482105e-05
2022-11-10,1.3243177818367258e-05
2022-11-17,4.0209092730947305e-06
2022-11-24,3.8748871702409815e-06
2022-12-01,8.019248525670264e-06
2022-12-08,5.637593858409673e-06
2022-12-15,4.245456239004852e-06
2022-12-22,6.23445112069021e-06
2022-12-29,5.441160283226054e-06
2023-01-05,6.109627975092735e-06
2023-01-05,6.441805453505367e-06
2023-01-12,1.548179534438532e-05
2023-01-19,7.677283974771854e-06
2023-01-26,9.321582183474677e-06
2023-02-02,5.933417924097739e-06
2023-02-09,8.553382940590382e-06
2023-02-16,7.22824142940226e-06
2023-02-23,3.856569037452573e-06
2023-03-02,4.690996775025269e-06
2023-03-09,2.0320680960139725e-06
2023-03-16,3.994685357611161e-06
